districtname,constnum,constname,maovote,civdeath_gov,civdeath_mao,govtdeath,maodeath,statebased,onesided,turnout,candidate_avgage,winnerage,per_femalecandidates,per_malecandidates,winnergender,winningparty
Achham,1,Achham 1,31.09,0,0,0,0,0,0,54.53,40.57,40,0,100,M,UML
Achham,2,Achham 2,35.56,6.27,8.36,138.97,76.27,14.63,215.24,52.82,45.5,32,0,100,M,CPNM
Arghakhanchi,1,Arghakhanchi 1,40.2,0,0,0,0,0,0,55.34,44.75,46,12.5,87.5,M,CPNM
Arghakhanchi,2,Arghakhanchi 2,24.03,16.19,8.63,62.59,87.42,24.82,150.01,52.05,44.33,46,16.67,83.33,F,NC
Baglung,1,Baglung 1,30.12,0,0,0,0,0,0,60.01,46.7,48,10,90,M,UML
Baglung,2,Baglung 2,17.98,0,0,0,0,0,0,55.29,47,66,10,90,M,RJ
Baglung,3,Baglung 3,21.2,8.36,19.5,6.96,44.57,27.86,51.53,51.97,45.88,49,12.5,87.5,M,NC
Baitadi,1,Baitadi 1,60.15,6.24,11.23,2.5,59.89,17.47,62.39,56.28,43.38,37,0,100,M,CPNM
Baitadi,2,Baitadi 2,49.55,0,0,0,0,0,0,44.37,47,27,18.18,81.82,F,CPNM
Bajhang,1,Bajhang 1,31.6,10.76,9.23,9.23,64.58,19.99,73.81,59.11,46.33,49,0,100,M,UML
Bajhang,2,Bajhang 2,41.75,0,0,0,0,0,0,51.45,45.67,50,0,100,M,CPNM
Bajura,1,Bajura 1,24.47,9.91,4.96,23.54,54.51,14.87,78.05,66.61,38.9,44,0,100,M,NC
Banke,1,Banke 1,35.58,28.36,50.75,88.06,220.91,79.11,308.97,67.49,47.39,57,5.56,94.44,M,CPNM
Banke,2,Banke 2,10.51,0,0,0,0,0,0,64.92,46.06,28,11.76,88.24,M,MJFN
Banke,3,Banke 3,18.18,0,0,0,0,0,0,64.69,46.11,48,5.56,94.44,M,MJFN
Banke,4,Banke 4,32.08,0,0,0,0,0,0,64.19,45.6,48,15,85,F,CPNM
Bara,1,Bara 1,16.91,0,0,0,0,0,0,69.4,41.25,34,0,100,M,NSP
Bara,2,Bara 2,24.93,0,3.04,0,0,3.04,0,66.94,49.53,41,0,100,M,CPNM
Bara,3,Bara 3,6.34,0,0,0,0,0,0,61.02,41.14,29,10.71,89.29,M,MJFN
Bara,4,Bara 4,12.15,0,0,0,0,0,0,69.66,39.74,38,0,100,M,TMLP
Bara,5,Bara 5,13.96,15.22,27.4,18.27,38.06,42.62,56.33,67.95,41,39,0,100,M,NC
Bara,6,Bara 6,34.82,0,0,0,0,0,0,59.62,42.96,35,13.04,86.96,M,CPNM
Bardiya,1,Bardiya 1,39.73,0,0,0,0,0,0,63.63,44.93,38,21.43,78.57,F,CPNM
Bardiya,2,Bardiya 2,39.53,16.29,35.55,37.03,171.83,51.84,208.86,66.9,44.89,35,10.53,89.47,M,CPNM
Bardiya,3,Bardiya 3,52.68,0,0,0,0,0,0,65.3,44.6,41,6.67,93.33,M,CPNM
Bardiya,4,Bardiya 4,56.1,0,0,0,0,0,0,65.17,42.62,50,15.38,84.62,M,CPNM
Bhaktapur,1,Bhaktapur 1,21.82,0,0,0,0,0,0,70.98,42.91,67,4.35,95.65,M,NMKP
Bhaktapur,2,Bhaktapur 2,17.78,21.21,0,2.36,0,21.21,2.36,72.65,47.95,42,15,85,M,NMKP
Bhojpur,1,Bhojpur 1,40.36,5.97,9.55,66.84,156.35,15.52,223.19,46.71,46.5,41,25,75,M,CPNM
Bhojpur,2,Bhojpur 2,47.43,0,0,0,0,0,0,45.05,41.14,29,0,100,M,CPNM
Chitwan,1,Chitwan 1,31.52,19.97,13.31,57.23,78.53,33.28,135.76,60.16,43.08,44,30.77,69.23,M,UML
Chitwan,2,Chitwan 2,43.09,0,0,0,0,0,0,63.87,44.18,53,18.18,81.82,M,CPNM
Chitwan,3,Chitwan 3,42.55,0,0,0,0,0,0,54.96,52,52,31.25,68.75,M,CPNM
Chitwan,4,Chitwan 4,46,0,0,0,0,0,0,61.46,51.67,54,8.33,91.67,M,CPNM
Chitwan,5,Chitwan 5,8.08,0,0,0,0,0,0,59.33,47.64,64,9.09,90.91,M,JN
Dadeldhura,1,Dadeldhura 1,36.94,13.94,3.98,10.96,20.91,17.92,31.87,51.66,44.73,60,0,100,M,NC
Dailekh,1,Dailekh 1,26.41,0,0,0,0,0,0,57.77,46,64,9.09,90.91,M,NC
Dailekh,2,Dailekh 2,22.63,4.67,22.19,14.01,115.62,26.86,129.63,58.17,48.89,41,11.11,88.89,M,UML
Dang,1,Dang 1,43.85,0,0,0,0,0,0,57.33,43.07,28,0,100,M,CPNM
Dang,2,Dang 2,52.58,0,0,0,0,0,0,58.43,46.92,36,15.38,84.62,F,CPNM
Dang,3,Dang 3,49.25,13.56,44.75,203.41,221.04,58.31,424.45,57.23,44.85,48,7.69,92.31,M,CPNM
Dang,4,Dang 4,42.32,0,0,0,0,0,0,58.33,44.29,69,11.76,88.24,M,CPNM
Dang,5,Dang 5,41.21,0,0,0,0,0,0,58.4,40.77,41,15.38,84.62,F,CPNM
Darchula,1,Darchula 1,47.38,0,1.15,8.08,33.46,1.15,41.54,61.88,41,30,0,100,M,CPNM
Dhading,1,Dhading 1,59.14,14.2,21.3,40.24,68.64,35.5,108.88,59.15,45,54,0,100,M,CPNM
Dhading,2,Dhading 2,33.27,0,0,0,0,0,0,61.42,42,33,4.76,95.24,F,CPNM
Dhading,3,Dhading 3,46,0,0,0,0,0,0,60.35,41.64,36,7.14,92.86,M,CPNM
Dhankuta,1,Dhankuta 1,47.06,6.26,10.96,37.58,12.53,17.22,50.11,57.24,51.45,32,0,100,M,CPNM
Dhankuta,2,Dhankuta 2,35.75,0,0,0,0,0,0,55.62,52,39,11.11,88.89,M,CPNM
Dhanusha,1,Dhanusha 1,25.23,0,0,0,0,0,0,57.24,46.45,51,10,90,M,UML
Dhanusha,2,Dhanusha 2,22.79,0,0,0,0,0,0,58.95,41.17,46,4.17,95.83,M,NC
Dhanusha,3,Dhanusha 3,3.37,0,0,0,0,0,0,60.6,43.97,50,3.45,96.55,M,NC
Dhanusha,4,Dhanusha 4,4.81,0,0,0,0,0,0,50.81,42.44,31,5.88,94.12,M,MJFN
