districtname,const,maoistvotes,totalvotes,eligiblevoters
Achham,1,16468,52976,97149
Achham,2,17976,50553,95707
Arghakhanchi,1,19584,48720,88034
Arghakhanchi,2,11588,48226,92660
Baglung,1,14386,47769,79605
Baglung,2,7451,41449,74969
Baglung,3,7911,37310,71791
Baitadi,1,27130,45105,80149
Baitadi,2,20021,40407,91063
Bajhang,1,12148,38443,65035
Bajhang,2,13895,33279,64684
Bajura,1,13155,53770,80721
Banke,1,16087,45215,66997
Banke,2,4091,38925,59954
Banke,3,6970,38332,59255
Banke,4,13884,43275,67416
Bara,1,7513,44436,64030
Bara,2,10991,44085,65862
Bara,3,2573,40555,66457
Bara,4,5179,42622,61187
Bara,5,6231,44629,65682
Bara,6,15109,43396,72785
Bardiya,1,17955,45192,71024
Bardiya,2,17851,45163,67507
Bardiya,3,23663,44920,68786
Bardiya,4,24444,43575,66863
Bhaktapur,1,11548,52935,74579
Bhaktapur,2,10966,61673,84885
Bhojpur,1,15796,39134,83787
Bhojpur,2,17578,37060,82263
Chitwan,1,14249,45201,75130
Chitwan,2,21409,49684,77793
Chitwan,3,17804,41847,76144
Chitwan,4,23942,52049,84684
Chitwan,5,3300,40838,68829
Dadeldhura,1,19161,51868,100407
Dailekh,1,12536,47463,82163
Dailekh,2,11271,49807,85623
Dang,1,18093,41259,71963
Dang,2,20240,38495,65884
Dang,3,20784,42203,73743
Dang,4,18854,44552,76380
Dang,5,17062,41402,70890
Darchula,1,25404,53622,86661
Dhading,1,29555,49978,84495
Dhading,2,20730,62306,101445
Dhading,3,25075,54506,90319
Dhankuta,1,17202,36554,63865
Dhankuta,2,12299,34405,61862
Dhanusha,1,9608,38088,66540
Dhanusha,2,8219,36057,61165
Dhanusha,3,1311,38859,64123
Dhanusha,4,1847,38420,75612
Dhanusha,5,4572,36668,61140
Dhanusha,6,11570,39488,70529
Dhanusha,7,4402,38658,64116
Dolakha,1,22182,50941,83661
Dolakha,2,18793,42536,82267
Dolpa,1,9723,16746,21932
Doti,1,8503,38210,77981
Doti,2,10929,31535,67988
Gorkha,1,40606,56463,88117
Gorkha,2,46272,56477,85243
Gorkha,3,28969,43648,76585
Gulmi,1,14165,35739,74070
Gulmi,2,7321,53886,104888
Gulmi,3,16581,43631,82711
Humla,1,13318,23459,30089
Ilam,1,10917,46553,72919
Ilam,2,8916,44068,71837
Ilam,3,8474,42903,67299
Jajarkot,1,19009,34974,52140
Jajarkot,2,11938,29795,45164
Jhapa,1,15276,48639,90123
Jhapa,2,18580,48376,89852
Jhapa,3,16685,46767,81121
Jhapa,4,19289,53464,94506
Jhapa,5,15548,58372,102546
Jhapa,6,10198,41992,70756
Jhapa,7,16099,53649,100563
Jumla,1,21127,42567,61868
Kailali,1,21780,44599,81451
Kailali,2,21219,45020,81255
Kailali,3,19739,48406,71772
Kailali,4,27547,49416,79740
Kailali,5,17979,43872,80451
Kailali,6,14826,42484,80767
Kalikot,1,27629,54258,80252
Kanchanpur,1,14765,41549,67429
Kanchanpur,2,18284,44559,81736
Kanchanpur,3,15076,36143,68118
Kanchanpur,4,11795,35080,67036
Kapilvastu,1,11730,46944,75448
Kapilvastu,2,7806,36113,69988
Kapilvastu,3,5930,37217,68416
Kapilvastu,4,6066,42268,66978
