districtname,constnum,constname,maoist,uml,nepalicongress,turnout,candidate_avgage,winnerage,per_femalecandidates,per_malecandidates,winnergender
Achham,1,Achham 1,29.04,38.86,25.98,54.53,40.57,40,0,100,M
Achham,2,Achham 2,32.35,27.04,21,52.82,45.5,32,0,100,M
Arghakhanchi,1,Arghakhanchi 1,35.54,19.85,21.64,55.34,44.75,46,12.5,87.5,M
Arghakhanchi,2,Arghakhanchi 2,25.44,29.48,33.72,52.05,44.33,46,16.67,83.33,F
Baglung,1,Baglung 1,30.47,27.92,24.72,60.01,46.7,48,10,90,M
Baglung,2,Baglung 2,19.98,8.56,27.38,55.29,47,66,10,90,M
Baglung,3,Baglung 3,18.79,15.15,29.04,51.97,45.88,49,12.5,87.5,M
Baitadi,1,Baitadi 1,55.36,15.13,13.66,56.28,43.38,37,0,100,M
Baitadi,2,Baitadi 2,44.86,14.03,19.89,44.37,47,27,18.18,81.82,F
Bajhang,1,Bajhang 1,31.34,33.48,26.21,59.11,46.33,49,0,100,M
Bajhang,2,Bajhang 2,38.08,25.72,21.25,51.45,45.67,50,0,100,M
Bajura,1,Bajura 1,22.97,33.42,35.43,66.61,38.9,44,0,100,M
Banke,1,Banke 1,35.2,20.3,18.65,67.49,47.39,57,5.56,94.44,M
Banke,2,Banke 2,9.9,11.45,10.61,64.92,46.06,28,11.76,88.24,M
Banke,3,Banke 3,16.45,10.33,17.22,64.69,46.11,48,5.56,94.44,M
Banke,4,Banke 4,30.63,25.63,17.44,64.19,45.6,48,15,85,F
Bara,1,Bara 1,15.34,13.03,13.43,69.4,41.25,34,0,100,M
Bara,2,Bara 2,14.31,7.3,15.45,66.94,49.53,41,0,100,M
Bara,3,Bara 3,7.07,13.12,12.09,61.02,41.14,29,10.71,89.29,M
Bara,4,Bara 4,12.77,18.89,17.62,69.66,39.74,38,0,100,M
Bara,5,Bara 5,15.66,31.69,27.38,67.95,41,39,0,100,M
Bara,6,Bara 6,32.93,29.48,12.13,59.62,42.96,35,13.04,86.96,M
Bardiya,1,Bardiya 1,40,28.65,15.74,63.63,44.93,38,21.43,78.57,F
Bardiya,2,Bardiya 2,39.34,11.97,15.39,66.9,44.89,35,10.53,89.47,M
Bardiya,3,Bardiya 3,53,16.84,18.62,65.3,44.6,41,6.67,93.33,M
Bardiya,4,Bardiya 4,55.97,10.64,17.28,65.17,42.62,50,15.38,84.62,M
Bhaktapur,1,Bhaktapur 1,22.54,13.27,14.94,70.98,42.91,67,4.35,95.65,M
Bhaktapur,2,Bhaktapur 2,19.32,17.61,21.42,72.65,47.95,42,15,85,M
Bhojpur,1,Bhojpur 1,35.46,18.9,30.02,46.71,46.5,41,25,75,M
Bhojpur,2,Bhojpur 2,38.39,25.5,19.94,45.05,41.14,29,0,100,M
Chitwan,1,Chitwan 1,32.18,32.68,19.55,60.16,43.08,44,30.77,69.23,M
Chitwan,2,Chitwan 2,43.99,20.57,23.82,63.87,44.18,53,18.18,81.82,M
Chitwan,3,Chitwan 3,41.22,19.87,26.38,54.96,52,52,31.25,68.75,M
Chitwan,4,Chitwan 4,42.96,12.39,31.69,61.46,51.67,54,8.33,91.67,M
Chitwan,5,Chitwan 5,32.65,19.54,17.26,59.33,47.64,64,9.09,90.91,M
Dadeldhura,1,Dadeldhura 1,25.19,17.94,37.55,51.66,44.73,60,0,100,M
Dailekh,1,Dailekh 1,25.36,28.41,32.05,57.77,46,64,9.09,90.91,M
Dailekh,2,Dailekh 2,21.29,30.24,26.57,58.17,48.89,41,11.11,88.89,M
Dang,1,Dang 1,41.26,11.55,22.69,57.33,43.07,28,0,100,M
Dang,2,Dang 2,51.32,12.91,17.83,58.43,46.92,36,15.38,84.62,F
Dang,3,Dang 3,46.55,12.76,25.77,57.23,44.85,48,7.69,92.31,M
Dang,4,Dang 4,41.59,14.14,29.03,58.33,44.29,69,11.76,88.24,M
Dang,5,Dang 5,39.97,12.82,36.17,58.4,40.77,41,15.38,84.62,F
Darchula,1,Darchula 1,42.31,21.99,22.54,61.88,41,30,0,100,M
Dhading,1,Dhading 1,52.42,13.62,15.55,59.15,45,54,0,100,M
Dhading,2,Dhading 2,31.45,30.65,28.32,61.42,42,33,4.76,95.24,F
Dhading,3,Dhading 3,40.88,26.58,15.65,60.35,41.64,36,7.14,92.86,M
Dhankuta,1,Dhankuta 1,39.76,30.8,15.71,57.24,51.45,32,0,100,M
Dhankuta,2,Dhankuta 2,35.26,31.57,9.15,55.62,52,39,11.11,88.89,M
Dhanusha,1,Dhanusha 1,16.19,27.15,16.44,57.24,46.45,51,10,90,M
Dhanusha,2,Dhanusha 2,17.46,17.41,20.61,58.95,41.17,46,4.17,95.83,M
Dhanusha,3,Dhanusha 3,4.1,23.19,36.6,60.6,43.97,50,3.45,96.55,M
Dhanusha,4,Dhanusha 4,6.2,18.21,11.99,50.81,42.44,31,5.88,94.12,M
