Districtcode,Districtname_eng,Constituencynum,Constituencyname,Chure Bhawar Rastriya Ekata Party Nepal,Communist Party of Nepal  (UML),Communist Party of Nepal (M.L.),Communist Party of Nepal (Maoists),Communist Party of Nepal (Marxist),Communist Party of Nepal (Unified),Communist Party of Nepal (United Marxist),Communist Party of Nepal (United),Dalit Janajati Party,Federal Democratic National Forum,Hindu Democratic Party,Janamorcha Nepal,"Janamukti Party, Nepal",League Nepal Shanti Ekata Party,Lok Kalyankari Janata Party Nepal,"Madhesi People's Rights Forum, Nepal",Mongol National Organization,Muskan Sena Nepal Party,Nav Janawadi Morcha,Nawanepal Prajatantrik Dal,Nepa: Rastriya Party,Nepal Dalit Shramik Morcha,Nepal Janata Party,Nepal Janavawana Party,Nepal Lokatantrik Samajbadi Dal,Nepal Pariwar Dal,Nepal Rastriya Bikas Party,Nepal Rastriya Lokatantrik Dal,Nepal Sadhvawana Party (Anandidevi),Nepal Samata Party,Nepal Samyawadi Dal,Nepal Shanti Kshetra Parishad,Nepal Sukumbasi Party (Loktantrik),Nepal Workers and Peasants Party,Nepali Congress,Nepali Congress (Nationalist),Nepali Janata Dal,Rastrawadi Ekata Party,Rastrawadi Yuwa Morcha,Rastriya Bikas Party,Rastriya Janamorcha,Rastriya Janamukti Party,Rastriya Janata Dal,Rastriya Janata Dal Nepal,Rastriya Janshakti Party,Rastriya Prajatantra Party,Rastriya Prajatantra Party Nepal,Sadhvawana Party,"Samajwadi Prajatantrik. Janata Party, Nepal",Sa-Shakti Nepal,Shanti Party Nepal,Socialist Party of Nepal,Tamsaling Nepal Rastriya Dal,Tarai Madhes Loktantrik Party
68,Achham,1,Achham 1,0.05,38.86,0.61,29.04,0.09,0.08,0.03,0.34,0.02,0.04,0.03,1.10,0.01,0.01,0.03,0.06,0.01,0.01,0.01,0.02,0.04,0.06,0.04,0.03,0.03,0.02,0.02,0.01,0.05,0.01,0.03,0.02,0.04,0.10,25.98,0.03,0.59,0.03,0.03,0.02,0.33,0.02,0.09,0.01,0.43,0.93,0.03,0.00,0.26,0.03,0.02,0.06,0.11,0.03
68,Achham,2,Achham 2,0.08,27.04,7.53,32.35,0.19,0.31,0.09,1.23,0.02,0.05,0.04,1.39,0.02,0.02,0.08,0.72,0.02,0.02,0.02,0.02,0.05,0.09,0.08,0.05,0.02,0.04,0.06,0.02,0.07,0.02,0.05,0.04,0.05,0.77,21.00,0.07,0.83,0.03,0.06,0.09,0.27,0.05,0.19,0.02,0.90,2.32,0.62,0.02,0.38,0.03,0.11,0.11,0.16,0.10
44,Arghakhanchi,1,Arghakhanchi 1,0.07,19.85,1.74,35.54,0.08,1.18,0.12,1.30,0.03,0.05,0.02,0.63,0.01,0.01,0.04,0.03,0.01,0.04,0.01,0.03,0.03,0.05,0.06,0.04,0.04,0.02,0.01,0.02,0.05,0.01,0.04,0.00,0.27,0.08,21.64,0.02,0.33,0.02,0.04,0.03,14.98,0.05,0.05,0.01,0.25,0.52,0.05,0.01,0.27,0.02,0.02,0.05,0.07,0.03
44,Arghakhanchi,2,Arghakhanchi 2,0.05,29.48,1.91,25.44,0.08,0.27,0.03,1.19,0.02,0.05,0.04,0.65,0.01,0.01,0.44,0.02,0.00,0.03,0.00,0.02,0.02,0.03,0.02,0.03,0.02,0.10,0.03,0.01,0.03,0.01,0.02,0.01,0.08,0.14,33.72,0.02,0.30,0.01,0.02,0.02,4.12,0.10,0.06,0.01,0.31,0.46,0.10,0.02,0.19,0.02,0.03,0.04,0.17,0.04
50,Baglung,1,Baglung 1,0.05,27.92,2.29,30.47,0.05,3.04,0.02,0.88,0.00,0.03,0.02,0.60,0.00,0.01,0.02,0.02,0.01,0.04,0.00,0.01,0.07,0.02,0.01,0.05,0.03,0.05,0.06,0.02,0.01,0.03,0.01,0.00,0.12,0.04,24.72,0.03,0.23,0.01,0.02,0.01,6.19,0.95,0.06,0.00,0.28,0.52,0.62,0.01,0.17,0.01,0.03,0.03,0.05,0.04
50,Baglung,2,Baglung 2,0.30,8.56,1.59,19.98,0.05,10.27,0.03,0.81,0.02,0.07,0.01,0.63,0.01,0.01,0.04,0.03,0.02,0.02,0.01,0.03,0.03,0.02,0.04,0.08,0.04,0.03,0.03,0.04,0.02,0.04,0.02,0.00,0.26,0.06,27.38,0.02,0.15,0.02,0.03,0.02,27.59,0.15,0.08,0.01,0.21,0.49,0.14,0.01,0.23,0.02,0.04,0.05,0.15,0.03
50,Baglung,3,Baglung 3,0.12,15.15,2.13,18.79,0.18,3.26,0.07,2.11,0.03,0.10,0.02,1.10,0.03,0.03,0.09,0.06,0.03,0.02,0.01,0.09,0.04,0.07,0.09,0.12,0.08,0.10,0.06,0.04,0.08,0.02,0.03,0.04,0.85,0.20,29.04,0.05,0.43,0.03,0.09,0.05,22.86,0.17,0.08,0.03,0.38,0.43,0.32,0.03,0.32,0.06,0.11,0.11,0.11,0.07
73,Baitadi,1,Baitadi 1,0.09,15.13,1.54,55.36,0.47,0.30,0.08,2.10,0.03,0.06,0.03,1.09,0.03,0.02,0.10,0.06,0.02,0.03,0.02,0.02,0.05,0.06,0.09,0.10,0.05,0.03,0.05,0.06,0.11,0.05,0.03,0.03,0.05,0.13,13.66,0.06,0.94,0.07,0.11,0.15,0.52,0.07,0.18,0.04,0.43,5.40,0.09,0.04,0.36,0.06,0.09,0.11,0.10,0.04
73,Baitadi,2,Baitadi 2,0.14,14.03,1.89,44.86,0.49,0.27,0.12,1.90,0.21,0.08,0.07,1.20,0.07,0.02,0.13,0.11,0.04,0.08,0.06,0.07,0.10,0.16,0.13,0.16,0.11,0.05,0.14,0.07,0.19,0.05,0.48,0.04,0.34,0.23,19.89,0.07,0.48,0.15,0.20,0.12,0.97,0.18,0.34,0.04,0.76,7.30,0.27,0.04,0.47,0.12,0.11,0.12,0.23,0.08
69,Bajhang,1,Bajhang 1,0.07,33.48,1.08,31.34,0.13,0.26,0.09,0.83,0.05,0.05,0.01,0.86,0.01,0.03,0.06,0.04,0.01,0.02,0.01,0.01,0.04,0.04,0.08,0.05,0.02,0.01,0.04,0.02,0.07,0.01,0.02,0.02,0.04,0.07,26.21,0.03,0.74,0.05,0.07,0.04,0.46,0.06,0.17,0.03,1.19,1.42,0.08,0.01,0.24,0.02,0.03,0.05,0.10,0.07
