District Code,District,Constituency No.,Gov't Deaths,Maoist Deaths,Civilian Deaths (Government),Civilian Deaths (Maoist),Unknown Deaths
68,Achham,1,0,0,0,0,0
68,Achham,2,133,73,6,8,78
44,Arghakhanchi,1,0,0,0,0,0
44,Arghakhanchi,2,58,81,15,8,78
50,Baglung,1,0,0,0,0,0
50,Baglung,2,0,0,0,0,0
50,Baglung,3,5,32,6,14,32
73,Baitadi,1,2,48,5,9,10
73,Baitadi,2,0,0,0,0,0
69,Bajhang,1,6,42,7,6,18
69,Bajhang,2,0,0,0,0,0
67,Bajura,1,19,44,8,4,35
65,Banke,1,59,148,19,34,35
65,Banke,2,0,0,0,0,0
65,Banke,3,0,0,0,0,0
65,Banke,4,0,0,0,0,0
33,Bara,1,0,0,0,0,0
33,Bara,2,0,0,0,2,29
33,Bara,3,0,0,0,0,0
33,Bara,4,0,0,0,0,0
33,Bara,5,12,25,10,18,0
33,Bara,6,0,0,0,0,0
66,Bardiya,1,0,0,0,0,0
66,Bardiya,2,25,116,11,24,121
66,Bardiya,3,0,0,0,0,0
66,Bardiya,4,0,0,0,0,0
27,Bhaktapur,1,0,0,0,0,0
27,Bhaktapur,2,2,0,18,0,6
7,Bhojpur,1,56,131,5,8,3
7,Bhojpur,2,0,0,0,0,0
35,Chitwan,1,43,59,15,10,58
35,Chitwan,2,0,0,0,0,0
35,Chitwan,3,0,0,0,0,0
35,Chitwan,4,0,0,0,0,0
35,Chitwan,5,0,0,0,0,0
74,Dadeldhura,1,11,21,14,4,34
63,Dailekh,1,0,0,0,0,0
63,Dailekh,2,12,99,4,19,37
56,Dang,1,0,0,0,0,0
56,Dang,2,0,0,0,0,0
56,Dang,3,150,163,10,33,228
56,Dang,4,0,0,0,0,0
56,Dang,5,0,0,0,0,0
72,Darchula,1,7,29,0,1,5
24,Dhading,1,34,58,12,18,40
24,Dhading,2,0,0,0,0,0
24,Dhading,3,0,0,0,0,0
8,Dhankuta,1,24,8,4,7,8
8,Dhankuta,2,0,0,0,0,0
20,Dhanusha,1,0,0,0,0,0
20,Dhanusha,2,0,0,0,0,0
20,Dhanusha,3,0,0,0,0,0
20,Dhanusha,4,0,0,0,0,0
20,Dhanusha,5,0,0,0,0,0
20,Dhanusha,6,0,0,0,0,0
20,Dhanusha,7,26,40,26,37,13
17,Dolakha,1,42,44,3,29,32
17,Dolakha,2,0,0,0,0,0
57,Dolpa,1,2,9,5,5,9
70,Doti,1,1,6,79,5,57
70,Doti,2,0,0,0,0,0
36,Gorkha,1,0,0,0,0,0
36,Gorkha,2,0,0,0,0,0
36,Gorkha,3,14,76,9,9,33
42,Gulmi,1,0,0,0,0,0
42,Gulmi,2,8,14,5,7,6
42,Gulmi,3,0,0,0,0,0
61,Humla,1,1,12,2,8,5
3,Ilam,1,0,0,0,0,0
3,Ilam,2,0,0,0,0,0
3,Ilam,3,33,50,18,10,16
62,Jajarkot,1,2,28,1,5,11
62,Jajarkot,2,0,0,0,0,0
4,Jhapa,1,0,0,0,0,0
4,Jhapa,2,0,0,0,0,0
4,Jhapa,3,0,0,0,0,0
4,Jhapa,4,0,0,0,0,0
4,Jhapa,5,31,24,13,25,8
4,Jhapa,6,0,0,0,0,0
4,Jhapa,7,0,0,0,0,0
59,Jumla,1,43,138,3,8,11
71,Kailali,1,0,0,0,0,0
71,Kailali,2,0,0,0,0,0
71,Kailali,3,0,0,0,0,0
71,Kailali,4,89,132,27,22,81
71,Kailali,5,0,0,0,0,0
71,Kailali,6,0,0,0,0,0
60,Kalikot,1,71,50,48,7,17
75,Kanchanpur,1,0,0,0,0,0
75,Kanchanpur,2,23,78,9,35,31
75,Kanchanpur,3,0,0,0,0,0
75,Kanchanpur,4,0,0,0,0,0
47,Kapilvastu,1,0,0,0,0,0
47,Kapilvastu,2,0,0,0,0,0
47,Kapilvastu,3,0,0,0,0,0
47,Kapilvastu,4,44,38,10,42,10
47,Kapilvastu,5,0,0,0,0,0
39,Kaski,1,0,0,0,0,0
39,Kaski,2,0,0,0,0,0
39,Kaski,3,0,0,0,0,0
39,Kaski,4,22,32,11,10,13
26,Kathmandu,1,0,0,0,0,0
26,Kathmandu,2,0,0,0,0,0
26,Kathmandu,3,32,7,17,12,16
26,Kathmandu,4,0,0,0,0,0
26,Kathmandu,5,0,0,0,0,0
26,Kathmandu,6,0,0,1,0,0
26,Kathmandu,7,0,0,0,0,0
26,Kathmandu,8,0,0,0,0,0
26,Kathmandu,9,0,0,0,0,0
26,Kathmandu,10,0,0,0,0,0
29,Kavrepalanchok,1,0,0,0,0,0
29,Kavrepalanchok,2,65,81,16,16,17
29,Kavrepalanchok,3,0,0,0,0,0
29,Kavrepalanchok,4,0,0,0,0,0
12,Khotang,1,0,0,0,0,0
12,Khotang,2,13,46,9,14,21
28,Lalitpur,1,9,10,2,8,8
28,Lalitpur,2,0,0,0,0,0
28,Lalitpur,3,0,0,0,0,0
38,Lamjung,1,11,89,3,16,81
38,Lamjung,2,0,0,0,0,0
21,Mahottari,1,0,0,0,0,0
21,Mahottari,2,0,0,0,0,0
21,Mahottari,3,0,0,0,0,0
21,Mahottari,4,0,0,0,0,0
21,Mahottari,5,0,0,0,0,0
21,Mahottari,6,17,16,10,12,2
31,Makwanpur,1,37,51,9,17,21
31,Makwanpur,2,0,0,0,0,0
31,Makwanpur,3,0,0,0,0,0
31,Makwanpur,4,0,0,0,0,0
37,Manang,1,0,0,0,0,0
9,Morang,1,0,0,0,0,0
9,Morang,2,20,71,20,35,33
9,Morang,3,0,0,0,0,0
9,Morang,4,0,0,0,0,0
9,Morang,5,0,0,0,0,0
9,Morang,6,0,0,0,0,0
9,Morang,7,0,0,0,0,0
9,Morang,8,0,0,0,0,0
9,Morang,9,0,0,0,0,0
58,Mugu,1,0,27,0,4,13
48,Mustang,1,0,0,0,0,0
49,Myagdi,1,37,173,14,3,26
45,Nawalparasi,1,0,0,0,0,0
45,Nawalparasi,2,0,0,0,0,0
45,Nawalparasi,3,41,44,16,49,28
45,Nawalparasi,4,0,0,0,0,0
45,Nawalparasi,5,0,0,0,0,0
45,Nawalparasi,6,0,0,0,0,0
25,Nuwakot,1,0,0,0,0,0
25,Nuwakot,2,13,48,12,21,32
25,Nuwakot,3,0,0,0,0,0
13,Okhaldhunga,1,3,74,2,6,18
13,Okhaldhunga,2,0,0,0,0,0
2,Paanchthar,1,17,42,10,7,22
2,Paanchthar,2,0,0,0,0,0
43,Palpa,1,0,0,0,0,0
43,Palpa,2,15,47,11,4,38
43,Palpa,3,0,0,0,0,0
34,Parsa,1,0,0,0,0,0
34,Parsa,2,0,0,0,0,0
34,Parsa,3,0,0,0,0,0
34,Parsa,4,0,0,0,0,0
34,Parsa,5,0,0,0,0,0
51,Parvat,1,12,22,4,5,9
51,Parvat,2,0,0,0,0,0
54,Pyuthan,1,5,11,0,6,22
54,Pyuthan,2,0,0,0,0,0
18,Ramechhap,1,0,0,0,0,0
18,Ramechhap,2,4,63,2,13,36
23,Rasuwa,1,0,9,4,2,9
32,Rautahat,1,0,0,0,0,0
32,Rautahat,2,0,0,0,0,0
32,Rautahat,3,0,0,0,0,0
32,Rautahat,4,0,0,0,0,0
32,Rautahat,5,0,0,0,0,0
32,Rautahat,6,7,39,34,32,28
53,Rolpa,1,145,120,12,3,141
53,Rolpa,2,0,0,0,0,0
52,Rukum,1,36,414,15,7,108
52,Rukum,2,0,0,0,0,0
46,Rupandehi,1,0,0,0,0,0
46,Rupandehi,2,0,0,0,0,0
46,Rupandehi,3,28,32,10,46,17
46,Rupandehi,4,0,0,0,0,0
46,Rupandehi,5,0,0,0,0,0
46,Rupandehi,6,0,0,0,0,0
46,Rupandehi,7,0,0,0,0,0
55,Salyan,1,40,80,2,6,75
55,Salyan,2,0,0,0,0,0
5,Sankhuwasabha,1,13,49,6,18,41
5,Sankhuwasabha,2,0,0,0,0,0
